"DB","Lange","Hohe","Name","Kommentar"
"33","9.06127588140279","48.937959524933","Freitag, den 15.02.2019 um 20:31 Uhr",
"28","9.06126149031286","48.9380942760831","Freitag, den 15.02.2019 um 20:31 Uhr",
"47","9.06088205220739","48.9382265566424","Freitag, den 15.02.2019 um 20:31 Uhr",
"36","9.06039607292458","48.9382065135803","Freitag, den 15.02.2019 um 20:32 Uhr",
"45","9.06016730476837","48.9382060053117","Freitag, den 15.02.2019 um 20:32 Uhr",
"41","9.05982247714034","48.9381888624406","Freitag, den 15.02.2019 um 20:32 Uhr",
"42","9.05944770978318","48.9382016944537","Freitag, den 15.02.2019 um 20:32 Uhr",
"29","9.05909189602645","48.9383881089359","Freitag, den 15.02.2019 um 20:33 Uhr",
"36","9.05895468948327","48.9385874804277","Freitag, den 15.02.2019 um 20:33 Uhr",
"25","9.0587401338931","48.9388018322253","Freitag, den 15.02.2019 um 20:33 Uhr",
"53","9.05869897448187","48.9390791765365","Freitag, den 15.02.2019 um 20:34 Uhr",
"53","9.05869897448187","48.9390791765365","Freitag, den 15.02.2019 um 20:34 Uhr",
"26","9.05904626024125","48.9394726662887","Freitag, den 15.02.2019 um 20:35 Uhr",
"39","9.05837662698076","48.9395559239202","Freitag, den 15.02.2019 um 20:35 Uhr",
"25","9.05834546266445","48.9395602381738","Freitag, den 15.02.2019 um 20:35 Uhr",
"28","9.0578794355581","48.939614667578","Freitag, den 15.02.2019 um 20:36 Uhr",
"28","9.05731457426225","48.9395623143758","Freitag, den 15.02.2019 um 20:36 Uhr",
"34","9.05688084753413","48.9394961124916","Freitag, den 15.02.2019 um 20:36 Uhr",
"26","9.05632509945774","48.9393880873164","Freitag, den 15.02.2019 um 20:37 Uhr",
"31","9.05596334158318","48.9392780297193","Freitag, den 15.02.2019 um 20:37 Uhr",
"71","9.05594381337519","48.9391694477292","Freitag, den 15.02.2019 um 20:38 Uhr",
"59","9.05594689702359","48.9391682425237","Freitag, den 15.02.2019 um 20:38 Uhr",
"62","9.05594689702359","48.9391682425237","Freitag, den 15.02.2019 um 20:38 Uhr",
"62","9.05602556466411","48.9389801787872","Freitag, den 15.02.2019 um 20:38 Uhr",
"64","9.05557416338877","48.938615330583","Freitag, den 15.02.2019 um 20:39 Uhr",
"70","9.05547763798105","48.9386076395635","Freitag, den 15.02.2019 um 20:39 Uhr",
"40","9.05418403178938","48.9379797244809","Freitag, den 15.02.2019 um 20:40 Uhr",
"31","9.05454190543504","48.9375408109862","Freitag, den 15.02.2019 um 20:41 Uhr",
"33","9.05486249928106","48.9369587122733","Freitag, den 15.02.2019 um 20:42 Uhr",
"27","9.05484982935695","48.9367622995691","Freitag, den 15.02.2019 um 20:42 Uhr",
"27","9.05392296682863","48.9366894626056","Freitag, den 15.02.2019 um 20:43 Uhr",
"31","9.05293506222871","48.9366767459385","Freitag, den 15.02.2019 um 20:44 Uhr",
"35","9.05256924403227","48.9366345256939","Freitag, den 15.02.2019 um 20:44 Uhr",
"33","9.05257332389419","48.9363156158508","Freitag, den 15.02.2019 um 20:45 Uhr",
"22","9.0526049324511","48.9362799294536","Freitag, den 15.02.2019 um 20:45 Uhr",
"39","9.05294143994497","48.9359746221343","Freitag, den 15.02.2019 um 20:46 Uhr",
"51","9.0530306078766","48.9359285324817","Freitag, den 15.02.2019 um 20:46 Uhr",
"52","9.05312977265203","48.935806218156","Freitag, den 15.02.2019 um 20:46 Uhr",
"38","9.05349026343522","48.9355084300621","Freitag, den 15.02.2019 um 20:47 Uhr",
"31","9.09465","48.8978683333333","Freitag, den 15.02.2019 um 20:48 Uhr",
"65","9.18221","48.7851616666667","Samstag, den 16.02.2019 um 12:46 Uhr",
"64","9.18231166666667","48.7857733333333","Samstag, den 16.02.2019 um 12:46 Uhr",
"61","9.18220166666667","48.785785","Samstag, den 16.02.2019 um 12:46 Uhr",
"68","9.18219833333333","48.78577","Samstag, den 16.02.2019 um 12:46 Uhr",
"64","9.18078333333333","48.78516","Samstag, den 16.02.2019 um 12:49 Uhr",
"52","9.18622833333333","48.7894933333333","Samstag, den 16.02.2019 um 13:01 Uhr",
"38","9.1888","48.8035966666667","Samstag, den 16.02.2019 um 13:03 Uhr",
"48","9.18881166666667","48.80358","Samstag, den 16.02.2019 um 13:03 Uhr",
"47","9.18884666666667","48.8036283333333","Samstag, den 16.02.2019 um 13:04 Uhr",
"66","9.188805","48.8036416666667","Samstag, den 16.02.2019 um 13:04 Uhr",
"51","9.188505","48.8037333333333","Samstag, den 16.02.2019 um 13:04 Uhr",
"60","9.18723666666667","48.8040933333333","Samstag, den 16.02.2019 um 13:04 Uhr",
"58","9.18574833333333","48.8047183333333","Samstag, den 16.02.2019 um 13:04 Uhr",
"52","9.184345","48.8053583333333","Samstag, den 16.02.2019 um 13:04 Uhr",
"52","9.18287166666667","48.8060866666667","Samstag, den 16.02.2019 um 13:05 Uhr",
"64","9.181075","48.8070133333333","Samstag, den 16.02.2019 um 13:05 Uhr",
"52","9.17108666666667","48.8122966666667","Samstag, den 16.02.2019 um 13:05 Uhr",
"59","9.17060333333333","48.812555","Samstag, den 16.02.2019 um 13:05 Uhr",
"48","9.17015833333334","48.8128466666667","Samstag, den 16.02.2019 um 13:05 Uhr",
"47","9.16981833333333","48.813115","Samstag, den 16.02.2019 um 13:05 Uhr",
"45","9.16959","48.8133083333333","Samstag, den 16.02.2019 um 13:05 Uhr",
"54","9.16959","48.8133083333333","Samstag, den 16.02.2019 um 13:06 Uhr",
"52","9.170575","48.8129683333333","Samstag, den 16.02.2019 um 13:06 Uhr",
"61","9.16913333333333","48.8137016666667","Samstag, den 16.02.2019 um 13:06 Uhr",
"62","9.16895833333333","48.8139716666667","Samstag, den 16.02.2019 um 13:06 Uhr",
"58","9.16880333333333","48.8141733333333","Samstag, den 16.02.2019 um 13:06 Uhr",
